id,genres,production_companies,title,crew
63,"Science Fiction, Thriller, Mystery","Universal Pictures, Atlas Entertainment, Classico",Twelve Monkeys,Terry Gilliam
9598,"Fantasy, Drama, Comedy, Family","Universal Pictures, Kennedy Miller Productions",Babe,Chris Noonan
687,Drama,"Havoc, PolyGram Filmed Entertainment, Working Title Films",Dead Man Walking,Tim Robbins
33689,"Comedy, Family, Romance","Dualstar Productions, Warner Bros., Rysher Entertainment, Orr & Cruickshank",It Takes Two,Andy Tennant
9603,"Comedy, Drama, Romance",Paramount Pictures,Clueless,Amy Heckerling
31174,"Drama, War","British Screen, Mayfair Entertainment International",Richard III,Richard Loncraine
11443,"Action, Crime, Drama, History","Caravan Pictures, Underworld Entertainment, Hollywood Pictures",Dead Presidents,"Albert Hughes, Allen Hughes"
35196,"Drama, Romance",Miramax Films,Restoration,Michael Hoffman
9312,"Action, Fantasy","New Line Cinema, Threshold Entertainment",Mortal Kombat,Paul W.S. Anderson
577,"Fantasy, Drama, Comedy, Thriller","The Rank Organisation, Columbia Pictures Corporation",To Die For,Gus Van Sant
11861,"Drama, Romance","Universal Pictures, Amblin Entertainment",How To Make An American Quilt,Jocelyn Moorhouse
807,"Crime, Mystery, Thriller","New Line Cinema, Juno Pix, Cecchi Gori Pictures",Se7en,David Fincher
10530,"Adventure, Animation, Drama, Family","Walt Disney Pictures, Walt Disney Feature Animation",Pocahontas,"Mike Gabriel, Eric Goldberg"
629,"Drama, Crime, Thriller","Blue Parrot Productions, Bad Hat Harry Productions",The Usual Suspects,Bryan Singer
11448,"Comedy, Romance","Miramax Films, Magnolia Pictures",Mighty Aphrodite,Woody Allen
26441,"Action, Adventure, Comedy, Family","Walt Disney Pictures, Caravan Pictures",The Big Green,Holly Goldberg Sloan
9089,"Comedy, Drama, Romance","Paramount Pictures, Egg Pictures, PolyGram Filmed Entertainment",Home for the Holidays,Jodie Foster
11010,"Comedy, Drama, Romance",,The Postman,Michael Radford
11359,"Adventure, Family, Fantasy","Paramount Pictures, Columbia Pictures Corporation, The Kennedy/Marshall Company",The Indian in the Cupboard,Frank Oz
17182,"Drama, Thriller",Paramount Pictures,Eye for an Eye,John Schlesinger
2054,"Music, Drama, Family","Hollywood Pictures, The Charlie Mopic Company, PolyGram Filmed Entertainment, Interscope Communications",Mr. Holland's Opus,Stephen Herek
10607,Comedy,"Miramax Films, Island Pictures, Ivory Way Productions",Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Paris Barclay
9536,Comedy,"Metro-Goldwyn-Mayer (MGM), Motion Picture Corporation of America (MPCA), 3 Arts Entertainment, Weasel Productions",Bio-Dome,Jason Bloom
4482,"Comedy, Romance","Renn Productions, Les Films Flam, TF1 Films Production, Canal+",French Twist,Josiane Balasko
10634,Comedy,New Line Cinema,Friday,F. Gary Gray
755,"Horror, Action, Thriller, Crime","A Band Apart, Dimension Films, Los Hooligans Productions, Miramax",From Dusk Till Dawn,Robert Rodriguez
11859,"Action, Thriller, Romance","Silver Pictures, Warner Bros.",Fair Game,Andrew Sipes
28387,"Comedy, Drama, Romance","Castleberg Productions, Sandollar Productions",Kicking and Screaming,Noah Baumbach
20927,"Drama, Romance","New Line Cinema, Juno Pix",Bed of Roses,Michael Goldenberg
9102,"Horror, Science Fiction","The Movie Network (TMN), Allegro Films, Fuji Eight Company Ltd., Fries Film Group, Super Ecran, Triumph Films",Screamers,Christian Duguay
27526,"Drama, Thriller",Miramax Films,The Crossing Guard,Sean Penn
9623,"Drama, Thriller",Columbia Pictures Corporation,The Juror,Brian Gibson
400,"Drama, Crime",Miramax Films,Things to Do in Denver When You're Dead,Gary Fleder
880,"Drama, Comedy","Bergen Film, Bard Entertainments, NPS Televisie",Antonia's Line,Marleen Gorris
10534,"Action, Drama","Hollywood Pictures, Largo Entertainment, Scott Free Productions",White Squall,Ridley Scott
17414,"Adventure, Comedy, Family","Twentieth Century Fox Film Corporation, Joe Wizan/Todd Black",Dunston Checks In,Ken Kwapis
13997,Comedy,Paramount Pictures,Black Sheep,Penelope Spheeris
2086,"Crime, Drama, Thriller",Paramount Pictures,Nick of Time,John Badham
9095,"Drama, Horror, Thriller, Romance","TriStar Pictures, NFH Productions",Mary Reilly,Stephen Frears
12158,"Comedy, Horror, Romance",Paramount Pictures,Vampire in Brooklyn,Wes Craven
9283,"Comedy, Drama, Romance","Miramax Films, Woods Entertainment",Beautiful Girls,Ted Demme
9208,"Action, Adventure, Drama, Thriller","Twentieth Century Fox Film Corporation, WCG Entertainment Productions, Mark Gordon Productions",Broken Arrow,John Woo
406,Drama,"Egg Pictures, PolyGram Filmed Entertainment, Canal+, Les Productions Lazennec, La Sept Cinéma, Kasso Inc. Productions, Studio Image, Cofinergie 6",La Haine,Mathieu Kassovitz
11062,"Drama, Thriller","Columbia Pictures, Castle Rock Entertainment",City Hall,Harold Becker
13685,"Comedy, Crime, Drama","Gracie Films, Columbia Pictures Corporation",Bottle Rocket,Wes Anderson
2045,"Drama, Mystery, Science Fiction, Thriller","Metro-Goldwyn-Mayer (MGM), Dino De Laurentiis Company, Spelling Films",Unforgettable,John Dahl
9614,Comedy,"Universal Pictures, Brillstein-Grey Entertainment, Robert Simonds Productions",Happy Gilmore,Dennis Dugan
688,"Drama, Romance","Amblin Entertainment, Malpaso Productions, Warner Bros.",The Bridges of Madison County,Clint Eastwood
10874,"Action, Comedy, Music, Family, Adventure","Walt Disney Pictures, Jim Henson Productions, Jim Henson Company, The",Muppet Treasure Island,Brian Henson
197,"Action, Drama, History, War","Icon Entertainment International, The Ladd Company, B.H. Finance C.V.",Braveheart,Mel Gibson
103,"Crime, Drama","Columbia Pictures Corporation, Italo/Judeo Productions, Bill/Phillips",Taxi Driver,Martin Scorsese
33542,"Crime, Action, Comedy, Thriller","New Line Cinema, Golden Harvest Company",Rumble in the Bronx,Stanley Tong
43566,"Drama, Thriller","Caravan Pictures, Hollywood Pictures",Before and After,Barbet Schroeder
43612,Comedy,"France 2 Cinéma, France 3 Cinéma, StudioCanal, Les Productions du Champ Poirier, Téléma Productions",Happiness Is in the Field,Étienne Chatiliez
55731,"Action, Adventure, Comedy, Drama, Family",TriStar Pictures,Race the Sun,Charles T. Kanganis
11066,"Comedy, Romance",Paramount Pictures,Boomerang,Reginald Hudlin
11104,"Drama, Comedy, Romance","Jet Tone Production, The Criterion Collection",Chungking Express,Wong Kar-wai
37975,"Drama, Romance",Cecchi Gori Group Tiger Cinematografica,The Star Maker,Giuseppe Tornatore
2074,"Comedy, Romance",Miramax Films,Flirting with Disaster,David O. Russell
27793,Fantasy,"Studio Babelsberg, Dieter Geissler Filmproduktion, Cinevox Filmproduktion GmbH, Warner Bros., Miramax",The Neverending Story III: Escape from Fantasia,Peter MacDonald
11863,"Action, Thriller, Mystery, Romance",Paramount Pictures,Jade,William Friedkin
9101,Comedy,Twentieth Century Fox Film Corporation,Down Periscope,David S. Ward
9302,"Drama, Romance","Cinergi Pictures Entertainment, Touchstone Pictures",Up Close & Personal,Jon Avnet
11000,Comedy,United Artists,The Birdcage,Mike Nichols
16388,"Comedy, Drama, Romance",Fox Searchlight Pictures,The Brothers McMullen,Edward Burns
9737,"Action, Comedy, Crime, Thriller","Columbia Pictures, Don Simpson/Jerry Bruckheimer Films",Bad Boys,Michael Bay
30765,"Action, Adventure, Drama, Family",Warner Bros.,The Amazing Panda Adventure,Christopher Cain
10474,"Drama, Crime","New Line Cinema, Island Pictures",The Basketball Diaries,Scott Kalvert
30157,"Crime, Comedy, Drama, Thriller","Channel Four Films, Zenith Entertainment, American Playhouse, Union Générale Cinématographique (UGC), La Sept Cinéma, True Fiction Pictures",Amateur,Hal Hartley
568,Drama,"Imagine Entertainment, Universal Pictures",Apollo 13,Ron Howard
11780,Adventure,"United Artists, Talisman Productions",Rob Roy,Michael Caton-Jones
34996,"Drama, Horror","October Films, Guild, Fastnet Films",The Addiction,Abel Ferrara
414,"Action, Crime, Fantasy","Warner Bros., Polygram Filmed Entertainment",Batman Forever,Joel Schumacher
649,"Drama, Romance","Paris Films Productions, Five Films, Robert et Raymond Hakim",Belle de Jour,Luis Buñuel
1873,"Drama, Thriller","Columbia Pictures, Castle Rock Entertainment",Beyond Rangoon,John Boorman
5894,Comedy,"Miramax Films, InterAL",Blue in the Face,"Paul Auster, Wayne Wang"
1775,"Action, Comedy",PolyGram Filmed Entertainment,Canadian Bacon,Michael Moore
8839,"Fantasy, Comedy, Family","Universal Pictures, Amblin Entertainment, The Harvey Entertainment Company",Casper,Brad Silberling
20649,"Mystery, Crime, Drama","Universal Pictures, 40 Acres & A Mule Filmworks",Clockers,Spike Lee
10329,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller","Paramount Pictures, Kennedy/Marshall Company, The",Congo,Frank Marshall
8963,"Action, Thriller, Drama","Hollywood Pictures, Don Simpson/Jerry Bruckheimer Films",Crimson Tide,Tony Scott
26564,Documentary,Superior Pictures,Crumb,Terry Zwigoff
8068,"Thriller, Action, Crime","Columbia Pictures, Los Hooligans Productions",Desperado,Robert Rodriguez
8512,"Drama, Mystery, Thriller","TriStar Pictures, Mundy Lane Entertainment",Devil in a Blue Dress,Carl Franklin
1572,"Action, Thriller","Twentieth Century Fox Film Corporation, Cinergi Pictures Entertainment",Die Hard: With a Vengeance,John McTiernan
13552,"Action, Comedy, Crime, Drama","Why Not Productions, Desperate Pictures, Blurco, The Teen Angst Movie Company",The Doom Generation,Gregg Araki
6520,"Action, Adventure, Drama, Romance","Columbia Pictures Corporation, First Knight Productions",First Knight,Jerry Zucker
9073,Adventure,"Regency Enterprises, Alcor Films, Canal+, Donner/Shuler-Donner Productions, Warner Bros.",Free Willy 2 - The Adventure Home,Dwight H. Little
10428,"Action, Crime, Thriller, Drama","United Artists, Suftley",Hackers,Iain Softley
9886,"Adventure, Action, Drama, Science Fiction, Thriller","TriStar Pictures, Alliance Communications Corporation",Johnny Mnemonic,Robert Longo
9482,Science Fiction,"Hollywood Pictures, Cinergi Pictures Entertainment",Judge Dredd,Danny Cannon
9344,"Drama, Crime",Miramax Films,Kids,Larry Clark
9071,"Drama, Comedy","JDI productions, Lemon Sky Productions",Living in Oblivion,Tom DiCillo
8973,"Mystery, Horror, Thriller","United Artists, Seraphim Films",Lord of Illusions,Clive Barker
47608,"Drama, Family, Romance",Touchstone Pictures,Mad Love,Antonia Bird
2293,"Romance, Comedy","Universal Pictures, Gramercy Pictures, Alphaville Films, View Askew Productions",Mallrats,Kevin Smith
9070,"Action, Adventure, Science Fiction, Family, Fantasy","Twentieth Century Fox Film Corporation, Saban Entertainment, Toei Company",Mighty Morphin Power Rangers: The Movie,Bryan Spicer
48787,"Thriller, Foreign","Comet Film Produktion GmbH, Avrora Media, Cobblestone Pictures",Mute Witness,Anthony Waller
1642,"Crime, Drama, Mystery, Thriller, Action",Columbia Pictures,The Net,Irwin Winkler
11472,Comedy,"Twentieth Century Fox Film Corporation, 1492 Pictures",Nine Months,Chris Columbus
11980,"Fantasy, Horror, Thriller",Dimension Films,The Prophecy,Gregory Widen
32646,Drama,"Killer Films, American Playhouse, Kardana Films, Chemical Films",Safe,Todd Haynes
10533,"Drama, History, Romance","Hollywood Pictures, Cinergi Pictures Entertainment",The Scarlet Letter,Roland Joffé
10802,Drama,"United Artists, Le Studio Canal+, Carolco Pictures",Showgirls,Paul Verhoeven
10149,"Comedy, Drama",Miramax Films,Smoke,"Wayne Wang, Paul Auster"
18402,Comedy,"Spring Creek Productions, Warner Bros., Hawn / Sylbert Movie Company",Something to Talk About,Lasse Hallström
9348,"Science Fiction, Horror, Action",Metro-Goldwyn-Mayer (MGM),Species,Roger Donaldson
281,"Crime, Drama, Science Fiction, Thriller",Lightstorm Entertainment,Strange Days,Kathryn Bigelow
5967,"Drama, Romance","Beta Film, Madeleine Films, Parc Film",The Umbrellas of Cherbourg,Jacques Demy
36834,"Drama, Romance","Société Française de Production (SFP), FIT Productions, Portman Productions",Total Eclipse,Agnieszka Holland
9090,Comedy,"Universal Pictures, Amblin Entertainment","To Wong Foo, Thanks for Everything! Julie Newmar",Beeban Kidron
3512,"Action, Thriller","Regency Enterprises, Warner Bros., Seagal/Nasso Productions, Victor Company of Japan (JVC), Cutting Edge Films",Under Siege 2: Dark Territory,Geoff Murphy
9560,"Drama, Romance","Twentieth Century Fox Film Corporation, Zucker Brothers Productions",A Walk in the Clouds,Alfonso Aráu
9804,"Adventure, Action","Universal Pictures, Gordon Company, Davis Entertainment, Licht/Mueller Film Corporation",Waterworld,Kevin Reynolds
31611,Drama,"HBO, A BandApart, Rysher Entertainment",White Man's Burden,Desmond Nakano
65796,"Action, Western",United Artists,Wild Bill,Walter Hill
26258,"Adventure, Action, Comedy, Crime, Family",Twentieth Century Fox Film Corporation,Bushwhacked,Greg Beeman
50797,Drama,"Canal+, Studio Trite, Caméra One",Burnt by the Sun,Nikita Mikhalkov
19155,"Drama, War","PolyGram Audiovisuel, British Screen Productions",Before the Rain,Milčo Mančevski
76,"Drama, Romance","Detour Film Production, Warner Bros.",Before Sunrise,Richard Linklater
11017,Comedy,Jack Giarraputo Productions,Billy Madison,Tamra Davis
37141,"Drama, Thriller",Spelling Films International,The Babysitter,Guy Ferland
9382,"Comedy, Drama","Regency Enterprises, Alcor Films, Canal+, New Regency Pictures, Hera Productions",Boys on the Side,Herbert Ross
6715,"Drama, Family","Universal Pictures, Island World",The Cure,Peter Horton
18256,"Thriller, Drama, Horror, Mystery",Full Moon Entertainment,Castle Freak,Stuart Gordon
22625,"Drama, Family, Romance","The Rank Organisation, Bórd Scannán na hÉireann, Lantana, Price Entertainment",Circle of Friends,Pat O'Connor
2292,Comedy,"Miramax Films, View Askew Productions",Clerks,Kevin Smith
1909,"Romance, Drama, Comedy","New Line Cinema, American Zoetrope",Don Juan DeMarco,Jeremy Leven
8984,"Drama, Thriller, Crime, Mystery, Romance","Warner Bros., Baltimore Pictures",Disclosure,Barry Levinson
4954,"Action, Adventure, Thriller",Paramount Pictures,Drop Zone,John Badham
10531,"Drama, Thriller, Mystery","Fine Line Features, Channel Four Films, Capitol Films, TF1 Films Production, Canal+, Flach Film, Les Films de l'Astre",Death and the Maiden,Roman Polanski
11929,"Crime, Drama, Mystery","Castle Rock Entertainment, Columbia Pictures Corporation",Dolores Claiborne,Taylor Hackford
8467,Comedy,"New Line Cinema, Motion Picture Corporation of America (MPCA)",Dumb and Dumber,"Peter Farrelly, Bobby Farrelly"
10451,"Comedy, Drama, Romance","Ang Lee Productions, Good Machine, Central Motion Pictures",Eat Drink Man Woman,Ang Lee
20156,"Drama, Mystery","Miramax Films, Alliance Entertainment, Ego Film Arts",Exotica,Atom Egoyan
18395,"Thriller, Comedy, Crime, Romance",Savoy Pictures,Exit to Eden,Garry Marshall
522,"Comedy, Drama, History",Touchstone Pictures,Ed Wood,Tim Burton
397,"Comedy, Romance","Twentieth Century Fox Film Corporation, PolyGram Filmed Entertainment, Working Title Films, Prufrock Pictures",French Kiss,Lawrence Kasdan
10525,"Comedy, Drama, Romance","Columbia Pictures, Castle Rock Entertainment",Forget Paris,Billy Crystal
27985,"Action, Adventure, Drama, Family",Twentieth Century Fox Film Corporation,Far from Home: The Adventures of Yellow Dog,Phillip Borsos
15789,"Romance, Animation, Family, Comedy, Adventure",Walt Disney Pictures,A Goofy Movie,"Kevin Lima, Paul Brizzi"
27303,"Drama, Thriller",TriStar Pictures,Hideaway,Brett Leonard
21183,"Drama, Family, Fantasy",Metro-Goldwyn-Mayer,Fluke,Carlo Carlei
14275,Documentary,"Fine Line Features, Kartemquin Films",Hoop Dreams,Steve James
1024,"Drama, Fantasy","WingNut Films, Miramax Films, New Zealand Film Commission, Fontana Productions",Heavenly Creatures,Peter Jackson
13701,"Drama, Music, Romance","Columbia Pictures, Majestic Films International, Icon Entertainment International",Immortal Beloved,Bernard Rose
14819,"Comedy, Family, Drama","Walt Disney Pictures, Caravan Pictures",Heavyweights,Steven Brill
32631,"Action, Thriller","Universal Pictures, Bregman/Baer Productions",The Hunted,J. F. Lawton
11777,"Comedy, Drama, Romance",Paramount Pictures,I.Q.,Fred Schepisi
628,"Horror, Romance",Geffen Pictures,Interview with the Vampire,Neil Jordan
6280,"Comedy, Family, Romance","Universal Pictures, Northern Lights Entertainment",Junior,Ivan Reitman
9061,"Action, Drama, Mystery, Thriller","Fountainbridge Films, Warner Bros., Lee Rich Productions",Just Cause,Arne Glimcher
37108,"Adventure, Fantasy, Comedy, Science Fiction, Family","Walt Disney Pictures, Trimark Pictures",A Kid in King Arthur's Court,Michael Gottlieb
6071,"Action, Crime, Drama, Thriller",Twentieth Century Fox Film Corporation,Kiss of Death,Barbet Schroeder
11,"Adventure, Action, Science Fiction","Lucasfilm, Twentieth Century Fox Film Corporation",Star Wars,George Lucas
9587,"Drama, Romance",Columbia Pictures,Little Women,Gillian Armstrong
19101,"Drama, Family, Fantasy",Warner Bros.,A Little Princess,Alfonso Cuarón
17961,"Crime, Drama",MK2 Productions,L'Enfer,Claude Chabrol
18183,"Drama, Romance","Aviacsa, Cinevista",Like Water for Chocolate,Alfonso Aráu
4476,"Adventure, Drama, Romance, War","Bedford Falls Productions, TriStar Pictures, Pangaea",Legends of the Fall,Edward Zwick
11008,"Adventure, Comedy, Family",Universal Pictures,Major Payne,Nick Castle
47504,"Action, Drama","Fine Line Features, New Line Cinema, Live Entertainment",Little Odessa,James Gray
28313,Drama,Paramount Pictures,Losing Isaiah,Stephen Gyllenhaal
11318,"Comedy, Drama, History","Channel Four Films, Samuel Goldwyn Company, Close Call Films",The Madness of King George,Nicholas Hytner
3036,"Drama, Horror, Science Fiction, Romance","American Zoetrope, TriStar Pictures",Mary Shelley's Frankenstein,Kenneth Branagh
40490,"Action, Comedy, Family",Walt Disney Pictures,Man of the House,James Orr
24070,"Comedy, Drama, Romance",TriStar Pictures,Mixed Nuts,Nora Ephron
8986,"Comedy, Romance","Paramount Pictures, The Kennedy/Marshall Company",Milk Money,Richard Benjamin
10510,"Fantasy, Drama, Family",Twentieth Century Fox Film Corporation,Miracle on 34th Street,Les Mayfield
8438,"Crime, Drama","Wolper Organization, Warner Bros.",Murder in the First,Marc Rocco
11593,"Drama, Comedy","Paramount Pictures, Capella International, Cinehaus",Nobody's Fool,Robert Benton
1945,"Drama, Thriller","Twentieth Century Fox Film Corporation, Egg Pictures, PolyGram Filmed Entertainment",Nell,Michael Apted
241,"Crime, Thriller, Drama","Regency Enterprises, Alcor Films, Ixtlan, Warner Bros., New Regency Pictures, J D Productions",Natural Born Killers,Oliver Stone
9058,"Comedy, Drama, Romance",TriStar Pictures,Only You,Norman Jewison
527,Drama,"Avalon Studios, New Zealand Film Commission, New Zealand On Air",Once Were Warriors,Lee Tamahori
18220,"Drama, Romance, Thriller","New Line Cinema, CineTel Pictures, MG Entertainment",Poison Ivy II: Lily,Anne Goursaud
6950,"Action, Drama, Science Fiction, Thriller","Kopelson Entertainment, Punch Productions, Warner Bros., Arnold Kopelson Productions",Outbreak,Wolfgang Petersen
101,"Thriller, Crime, Drama","Columbia Pictures, Gaumont",Leon: The Professional,Luc Besson
680,"Thriller, Crime","Miramax Films, A Band Apart, Jersey Films",Pulp Fiction,Quentin Tarantino
40156,"Drama, Romance","BBC Films, PolyGram Filmed Entertainment, Miramax",Priest,Antonia Bird
11450,"History, Drama","Wildwood Enterprises, Hollywood Pictures, Baltimore Pictures",Quiz Show,Robert Redford
10452,"Drama, History","Renn Productions, Eurimages, Canal+, ARD/Degeto Film GmbH, D.A. Films, France2 Cinéma, WMG Film, Centre National de la Cinématographie (CNC), N.E.F. Filmproduktion und Vertriebs GmbH, Miramax, RCS Films & TV",Queen Margot,Patrice Chéreau
12106,"Action, Western",TriStar Pictures,The Quick and the Dead,Sam Raimi
3586,"Drama, Comedy",Miramax Films,Prêt-à-Porter,Robert Altman
110,"Drama, Mystery, Romance","Zespół Filmowy TOR, Le Studio Canal+, France 3 Cinéma, Télévision Suisse-Romande",Three Colors: Red,Krzysztof Kieślowski
108,"Drama, Music, Mystery","France 3 Cinéma, CED Productions",Three Colors: Blue,Krzysztof Kieślowski
109,"Comedy, Drama, Mystery","Le Studio Canal+, France 3 Cinéma, Eurimages",Three Colors: White,Krzysztof Kieślowski
22586,Animation,Rich Animation Studios,The Swan Princess,Richard Rich
2636,"Action, Thriller","Jerry Weintraub Productions, Warner Bros., Iguana Producciones",The Specialist,Luis Llosa
2164,"Action, Adventure, Science Fiction","Centropolis Entertainment, StudioCanal, Carolco Entertainment",Stargate,Roland Emmerich
11395,"Fantasy, Drama, Comedy, Family","Walt Disney Pictures, Hollywood Pictures",The Santa Clause,John Pasquin
278,"Drama, Crime","Castle Rock Entertainment, Warner Bros.",The Shawshank Redemption,Frank Darabont
9905,"Crime, Thriller","Channel Four Films, Figment Films, The Glasgow Film Fund, PolyGram Filmed Entertainment",Shallow Grave,Danny Boyle
20306,"Crime, Comedy","Cineville, Trimark Pictures",Swimming with Sharks,George Huang
36614,"Comedy, Drama, Romance",Samuel Goldwyn Company,The Sum of Us,"Kevin Dowling, Geoff Burton"
27993,Comedy,"New Line Cinema, 1992 Number Four Limited Partnership, MHA",Senior Trip,Kelly Makin
31439,"Drama, Romance, War","Shanghai Film Studios, Era International Ltd",To Live,Zhang Yimou
9067,"Action, Comedy, Fantasy, Science Fiction",Trilogy Entertainment Group,Tank Girl,Rachel Talalay
9059,"Horror, Comedy, Thriller","Universal Pictures, Tales From The Crypt Holdings",Tales from the Crypt: Demon Knight,Ernest R. Dickerson
193,"Science Fiction, Action, Adventure, Thriller",Paramount Pictures,Star Trek: Generations,David Carson
25066,"Crime, Horror, Thriller","40 Acres & A Mule Filmworks, Savoy Pictures",Tales from the Hood,Rusty Cundieff
12122,"Thriller, Horror, Science Fiction",Universal Pictures,Village of the Damned,John Carpenter
11381,Comedy,Paramount Pictures,Tommy Boy,Peter Segal
1587,"Romance, Drama",Paramount Pictures,What's Eating Gilbert Grape,Lasse Hallström
9271,"Action, Crime, Science Fiction, Thriller",Paramount Pictures,Virtuosity,Brett Leonard
2064,"Comedy, Drama, Romance","Caravan Pictures, Hollywood Pictures",While You Were Sleeping,Jon Turteltaub
19855,Drama,Universal Pictures,The War,Jon Avnet
236,"Drama, Comedy, Romance","Ciby 2000, Film Victoria, House & Moorhouse Films",Muriel's Wedding,P.J. Hogan
48287,"Comedy, Drama, Family","Columbia Pictures Corporation, Beacon Pictures",The Baby-Sitters Club,Melanie Mayron
3049,"Comedy, Mystery","Warner Bros., Morgan Creek Productions",Ace Ventura: Pet Detective,Tom Shadyac
2759,"Drama, Comedy",PolyGram Filmed Entertainment,"The Adventures of Priscilla, Queen of the Desert",Stephan Elliott
12635,"Drama, Music",Gramercy Pictures,Backbeat,Iain Softley
10497,"Thriller, Drama, Romance","Fine Line Features, R.P. Productions, Columbia Pictures Corporation, Les Films Alain Sarde, Canal+, Timothy Burrill Productions",Bitter Moon,Roman Polanski
11382,"Action, Comedy, Thriller",Miramax Films,Bullets Over Broadway,Woody Allen
9331,"Action, Drama, Thriller","Paramount Pictures, Mace Neufeld Productions",Clear and Present Danger,Phillip Noyce
10731,"Drama, Thriller, Crime, Mystery","Regency Enterprises, Alcor Films, Warner Bros.",The Client,Joel Schumacher
10464,"Comedy, Drama, Family, Romance",New Line Cinema,"Corrina, Corrina",Jessie Nelson
34152,"Comedy, Drama","Universal Pictures, 40 Acres & A Mule Filmworks",Crooklyn,Spike Lee
9495,"Fantasy, Action, Thriller","Miramax Films, Crowvision Inc., Entertainment Media Investment Corporation, Jeff Most Productions, Edward R. Pressman Film",The Crow,Alex Proyas
29973,Drama,"Regency Enterprises, Alcor Films, Warner Bros., Aleor Films",Cobb,Ron Shelton
888,"Fantasy, Comedy, Family","Universal Pictures, Amblin Entertainment, Hanna-Barbera Productions",The Flintstones,Brian Levant
13,"Comedy, Drama, Romance",Paramount Pictures,Forrest Gump,Robert Zemeckis
